"wq_name","site","model","month","Fut1diff_median","Fut2diff_median","Fut1like","Fut2like","Fut1med_use","Fut2med_use","X0"
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Aug",-0.0103056725324127,-0.0510068408080475,57,62,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Sep",-0.0202889094433996,-0.0338320816941098,55,61,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Oct",-0.0331903394680124,-0.0423630723960926,61,65,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Nov",-0.0128585750758574,-0.0376726451803875,54,66,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Dec",0.00234597622762256,-0.0136411505149074,51,54,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MPI-ESM-LR","Jan",-0.0194505075654277,0.00288442825399748,58,52,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MPI-ESM-LR","Feb",0.00530568237393747,0.0164574855831074,53,57,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MPI-ESM-LR","Mar",-0.0106027820378201,-0.0232160625016125,54,59,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MPI-ESM-LR","Apr",0.0163362592643423,0.0139284229510999,59,54,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MPI-ESM-LR","May",-0.00331893003523764,-0.00468051582923512,53,52,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MPI-ESM-LR","Jun",-0.00437139174278744,-0.0161127611723124,51,57,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MPI-ESM-LR","Jul",-0.0223934454868848,-0.0402696173805852,57,62,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MPI-ESM-LR","Aug",0.0137156913431025,-0.0156300520618451,56,56,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MPI-ESM-LR","Sep",-0.0269895905430797,-0.0354886179017,60,58,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MPI-ESM-LR","Oct",0.00401850833307282,-0.00900452543650987,54,57,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MPI-ESM-LR","Nov",0.0517600449177777,0.0271888957547648,75,58,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MPI-ESM-LR","Dec",0.0275916308779252,0.0274083631799276,62,60,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MRI-CGCM3","Jan",0.0327147062709652,0.0327677592773004,60,65,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MRI-CGCM3","Feb",0.0100943518508527,-0.00102767562017769,52,51,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MRI-CGCM3","Mar",0.05548774165321,0.0492666243099824,71,67,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MRI-CGCM3","Apr",0.0310778592596204,0.0361694688835974,67,60,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MRI-CGCM3","May",0.0167444978130098,0.0306835472000475,63,60,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MRI-CGCM3","Jun",0.0109826079737225,0.0131739375756952,54,59,NA,NA,NA
