"title","site","name","value"
"Dissolved oxygen Alafia R at Lithia","Alafia","min_wq_2010_2019",4.8
"Dissolved oxygen Alafia R at Lithia","Alafia","max_flow_obs_wq_1989_2012",8.436
"Dissolved oxygen Alafia R at Lithia","Alafia","min_flow_obs_wq_1989_2012",1.504
"Dissolved oxygen Alafia R at Lithia","Alafia","max_flow_obs_wq_2010_2019",8.132
"Dissolved oxygen Alafia R at Lithia","Alafia","min_flow_obs_wq_2010_2019",1.679
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","max_flow_1989_2100",10.267
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","min_flow_1989_2100",-7.586
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","max_flow_1989_2012",8.65
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","min_flow_1989_2012",3.045
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","max_flow_2010_2019",8.221
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","min_flow_2010_2019",3.635
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","max_flow_future",10.267
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","min_flow_future",-7.586
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","max_wq_1989_2012",8.34
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","min_wq_1989_2012",1.23
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","max_wq_2010_2019",9.4
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","min_wq_2010_2019",0.19
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","max_flow_obs_wq_1989_2012",7.215
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","min_flow_obs_wq_1989_2012",3.52
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","max_flow_obs_wq_2010_2019",7.682
"Dissolved oxygen Hillsborough R at Morris Br","Hillsborough","min_flow_obs_wq_2010_2019",3.809
"Fluoride Alafia R at Lithia","Alafia","max_flow_1989_2100",10.481
"Fluoride Alafia R at Lithia","Alafia","min_flow_1989_2100",-8.082
"Fluoride Alafia R at Lithia","Alafia","max_flow_1989_2012",9.192
"Fluoride Alafia R at Lithia","Alafia","min_flow_1989_2012",1.411
"Fluoride Alafia R at Lithia","Alafia","max_flow_2010_2019",9.001
"Fluoride Alafia R at Lithia","Alafia","min_flow_2010_2019",1.629
"Fluoride Alafia R at Lithia","Alafia","max_flow_future",10.481
"Fluoride Alafia R at Lithia","Alafia","min_flow_future",-8.082
"Fluoride Alafia R at Lithia","Alafia","max_wq_1989_2012",3.3
"Fluoride Alafia R at Lithia","Alafia","min_wq_1989_2012",0.32
"Fluoride Alafia R at Lithia","Alafia","max_wq_2010_2019",2.4
"Fluoride Alafia R at Lithia","Alafia","min_wq_2010_2019",0.16
"Fluoride Alafia R at Lithia","Alafia","max_flow_obs_wq_1989_2012",8.436
"Fluoride Alafia R at Lithia","Alafia","min_flow_obs_wq_1989_2012",1.504
"Fluoride Alafia R at Lithia","Alafia","max_flow_obs_wq_2010_2019",8.132
"Fluoride Alafia R at Lithia","Alafia","min_flow_obs_wq_2010_2019",1.679
"Fluoride Hillsborough R at Morris Br","Hillsborough","max_flow_1989_2100",10.267
"Fluoride Hillsborough R at Morris Br","Hillsborough","min_flow_1989_2100",-7.586
"Fluoride Hillsborough R at Morris Br","Hillsborough","max_flow_1989_2012",8.65
"Fluoride Hillsborough R at Morris Br","Hillsborough","min_flow_1989_2012",3.045
"Fluoride Hillsborough R at Morris Br","Hillsborough","max_flow_2010_2019",8.221
"Fluoride Hillsborough R at Morris Br","Hillsborough","min_flow_2010_2019",3.635
"Fluoride Hillsborough R at Morris Br","Hillsborough","max_flow_future",10.267
"Fluoride Hillsborough R at Morris Br","Hillsborough","min_flow_future",-7.586
"Fluoride Hillsborough R at Morris Br","Hillsborough","max_wq_1989_2012",0.41
"Fluoride Hillsborough R at Morris Br","Hillsborough","min_wq_1989_2012",0.08
"Fluoride Hillsborough R at Morris Br","Hillsborough","max_wq_2010_2019",0.42
"Fluoride Hillsborough R at Morris Br","Hillsborough","min_wq_2010_2019",0.14
"Fluoride Hillsborough R at Morris Br","Hillsborough","max_flow_obs_wq_1989_2012",7.215
"Fluoride Hillsborough R at Morris Br","Hillsborough","min_flow_obs_wq_1989_2012",3.52
"Fluoride Hillsborough R at Morris Br","Hillsborough","max_flow_obs_wq_2010_2019",7.682
"Fluoride Hillsborough R at Morris Br","Hillsborough","min_flow_obs_wq_2010_2019",3.809
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","max_flow_1989_2100",10.481
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","min_flow_1989_2100",-8.082
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","max_flow_1989_2012",9.192
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","min_flow_1989_2012",1.411
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","max_flow_2010_2019",9.001
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","min_flow_2010_2019",1.629
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","max_flow_future",10.481
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","min_flow_future",-8.082
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","max_wq_1989_2012",3.5
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","min_wq_1989_2012",0.015
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","max_wq_2010_2019",1.459
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","min_wq_2010_2019",0.015
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","max_flow_obs_wq_1989_2012",8.436
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","min_flow_obs_wq_1989_2012",1.504
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","max_flow_obs_wq_2010_2019",8.132
"Nitrate-nitrite as N Alafia R at Lithia","Alafia","min_flow_obs_wq_2010_2019",1.679
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","max_flow_1989_2100",10.267
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","min_flow_1989_2100",-7.586
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","max_flow_1989_2012",8.65
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","min_flow_1989_2012",3.045
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","max_flow_2010_2019",8.221
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","min_flow_2010_2019",3.635
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","max_flow_future",10.267
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","min_flow_future",-7.586
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","max_wq_1989_2012",1.708
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","min_wq_1989_2012",0.0055
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","max_wq_2010_2019",1.708
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","min_wq_2010_2019",0.0055
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","max_flow_obs_wq_1989_2012",7.215
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","min_flow_obs_wq_1989_2012",3.52
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","max_flow_obs_wq_2010_2019",7.682
"Nitrate-nitrite as N Hillsborough R at Morris Br","Hillsborough","min_flow_obs_wq_2010_2019",3.809
"Organic nitrogen Alafia R at Lithia","Alafia","max_flow_1989_2100",10.481
"Organic nitrogen Alafia R at Lithia","Alafia","min_flow_1989_2100",-8.082
"Organic nitrogen Alafia R at Lithia","Alafia","max_flow_1989_2012",9.192
"Organic nitrogen Alafia R at Lithia","Alafia","min_flow_1989_2012",1.411
"Organic nitrogen Alafia R at Lithia","Alafia","max_flow_2010_2019",9.001
"Organic nitrogen Alafia R at Lithia","Alafia","min_flow_2010_2019",1.629
"Organic nitrogen Alafia R at Lithia","Alafia","max_flow_future",10.481
"Organic nitrogen Alafia R at Lithia","Alafia","min_flow_future",-8.082
"Organic nitrogen Alafia R at Lithia","Alafia","max_wq_1989_2012",1.541
"Organic nitrogen Alafia R at Lithia","Alafia","min_wq_1989_2012",0.337
"Organic nitrogen Alafia R at Lithia","Alafia","max_wq_2010_2019",1.385
"Organic nitrogen Alafia R at Lithia","Alafia","min_wq_2010_2019",0.0915
"Organic nitrogen Alafia R at Lithia","Alafia","max_flow_obs_wq_1989_2012",7.941
"Organic nitrogen Alafia R at Lithia","Alafia","min_flow_obs_wq_1989_2012",1.679
"Organic nitrogen Alafia R at Lithia","Alafia","max_flow_obs_wq_2010_2019",7.941
"Organic nitrogen Alafia R at Lithia","Alafia","min_flow_obs_wq_2010_2019",1.679
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","max_flow_1989_2100",10.267
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","min_flow_1989_2100",-7.586
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","max_flow_1989_2012",8.65
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","min_flow_1989_2012",3.045
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","max_flow_2010_2019",8.221
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","min_flow_2010_2019",3.635
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","max_flow_future",10.267
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","min_flow_future",-7.586
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","max_wq_1989_2012",1.547
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","min_wq_1989_2012",0.079
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","max_wq_2010_2019",1.642
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","min_wq_2010_2019",0.079
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","max_flow_obs_wq_1989_2012",7.215
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","min_flow_obs_wq_1989_2012",3.52
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","max_flow_obs_wq_2010_2019",7.682
"Organic nitrogen Hillsborough R at Morris Br","Hillsborough","min_flow_obs_wq_2010_2019",3.809
"Orthophosphate as P Alafia R at Lithia","Alafia","max_flow_1989_2100",10.481
"Orthophosphate as P Alafia R at Lithia","Alafia","min_flow_1989_2100",-8.082
"Orthophosphate as P Alafia R at Lithia","Alafia","max_flow_1989_2012",9.192
"Orthophosphate as P Alafia R at Lithia","Alafia","min_flow_1989_2012",1.411
"Orthophosphate as P Alafia R at Lithia","Alafia","max_flow_2010_2019",9.001
"Orthophosphate as P Alafia R at Lithia","Alafia","min_flow_2010_2019",1.629
"Orthophosphate as P Alafia R at Lithia","Alafia","max_flow_future",10.481
"Orthophosphate as P Alafia R at Lithia","Alafia","min_flow_future",-8.082
"Orthophosphate as P Alafia R at Lithia","Alafia","max_wq_1989_2012",3.4
"Orthophosphate as P Alafia R at Lithia","Alafia","min_wq_1989_2012",0.061
"Orthophosphate as P Alafia R at Lithia","Alafia","max_wq_2010_2019",1.988
"Orthophosphate as P Alafia R at Lithia","Alafia","min_wq_2010_2019",0.37
"Orthophosphate as P Alafia R at Lithia","Alafia","max_flow_obs_wq_1989_2012",8.436
"Orthophosphate as P Alafia R at Lithia","Alafia","min_flow_obs_wq_1989_2012",1.504
"Orthophosphate as P Alafia R at Lithia","Alafia","max_flow_obs_wq_2010_2019",8.132
"Orthophosphate as P Alafia R at Lithia","Alafia","min_flow_obs_wq_2010_2019",1.679
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","max_flow_1989_2100",10.267
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","min_flow_1989_2100",-7.586
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","max_flow_1989_2012",8.65
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","min_flow_1989_2012",3.045
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","max_flow_2010_2019",8.221
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","min_flow_2010_2019",3.635
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","max_flow_future",10.267
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","min_flow_future",-7.586
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","max_wq_1989_2012",0.52
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","min_wq_1989_2012",0.042
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","max_wq_2010_2019",0.634
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","min_wq_2010_2019",0.042
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","max_flow_obs_wq_1989_2012",7.215
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","min_flow_obs_wq_1989_2012",3.52
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","max_flow_obs_wq_2010_2019",7.682
"Orthophosphate as P Hillsborough R at Morris Br","Hillsborough","min_flow_obs_wq_2010_2019",3.809
"pH Alafia R at Lithia","Alafia","max_flow_1989_2100",10.481
"pH Alafia R at Lithia","Alafia","min_flow_1989_2100",-8.082
"pH Alafia R at Lithia","Alafia","max_flow_1989_2012",9.192
"pH Alafia R at Lithia","Alafia","min_flow_1989_2012",1.411
"pH Alafia R at Lithia","Alafia","max_flow_2010_2019",9.001
"pH Alafia R at Lithia","Alafia","min_flow_2010_2019",1.629
"pH Alafia R at Lithia","Alafia","max_flow_future",10.481
"pH Alafia R at Lithia","Alafia","min_flow_future",-8.082
"pH Alafia R at Lithia","Alafia","max_wq_1989_2012",9.16
"pH Alafia R at Lithia","Alafia","min_wq_1989_2012",6.44
"pH Alafia R at Lithia","Alafia","max_wq_2010_2019",9.16
"pH Alafia R at Lithia","Alafia","min_wq_2010_2019",5.3
"pH Alafia R at Lithia","Alafia","max_flow_obs_wq_1989_2012",8.436
"pH Alafia R at Lithia","Alafia","min_flow_obs_wq_1989_2012",1.504
"pH Alafia R at Lithia","Alafia","max_flow_obs_wq_2010_2019",8.132
"pH Alafia R at Lithia","Alafia","min_flow_obs_wq_2010_2019",1.679
"pH Hillsborough R at Morris Br","Hillsborough","max_flow_1989_2100",10.267
"pH Hillsborough R at Morris Br","Hillsborough","min_flow_1989_2100",-7.586
"pH Hillsborough R at Morris Br","Hillsborough","max_flow_1989_2012",8.65
"pH Hillsborough R at Morris Br","Hillsborough","min_flow_1989_2012",3.045
"pH Hillsborough R at Morris Br","Hillsborough","max_flow_2010_2019",8.221
"pH Hillsborough R at Morris Br","Hillsborough","min_flow_2010_2019",3.635
"pH Hillsborough R at Morris Br","Hillsborough","max_flow_future",10.267
"pH Hillsborough R at Morris Br","Hillsborough","min_flow_future",-7.586
"pH Hillsborough R at Morris Br","Hillsborough","max_wq_1989_2012",8.25
"pH Hillsborough R at Morris Br","Hillsborough","min_wq_1989_2012",6.72
"pH Hillsborough R at Morris Br","Hillsborough","max_wq_2010_2019",8.25
"pH Hillsborough R at Morris Br","Hillsborough","min_wq_2010_2019",5.12
"pH Hillsborough R at Morris Br","Hillsborough","max_flow_obs_wq_1989_2012",7.215
"pH Hillsborough R at Morris Br","Hillsborough","min_flow_obs_wq_1989_2012",3.52
"pH Hillsborough R at Morris Br","Hillsborough","max_flow_obs_wq_2010_2019",7.682
"pH Hillsborough R at Morris Br","Hillsborough","min_flow_obs_wq_2010_2019",3.809
"Specific conductance Alafia R at Lithia","Alafia","max_flow_1989_2100",10.481
"Specific conductance Alafia R at Lithia","Alafia","min_flow_1989_2100",-8.082
"Specific conductance Alafia R at Lithia","Alafia","max_flow_1989_2012",9.192
"Specific conductance Alafia R at Lithia","Alafia","min_flow_1989_2012",1.411
"Specific conductance Alafia R at Lithia","Alafia","max_flow_2010_2019",9.001
"Specific conductance Alafia R at Lithia","Alafia","min_flow_2010_2019",1.629
"Specific conductance Alafia R at Lithia","Alafia","max_flow_future",10.481
"Specific conductance Alafia R at Lithia","Alafia","min_flow_future",-8.082
"Specific conductance Alafia R at Lithia","Alafia","max_wq_1989_2012",1061
"Specific conductance Alafia R at Lithia","Alafia","min_wq_1989_2012",180
"Specific conductance Alafia R at Lithia","Alafia","max_wq_2010_2019",1061
"Specific conductance Alafia R at Lithia","Alafia","min_wq_2010_2019",148
"Specific conductance Alafia R at Lithia","Alafia","max_flow_obs_wq_1989_2012",8.436
"Specific conductance Alafia R at Lithia","Alafia","min_flow_obs_wq_1989_2012",1.504
"Specific conductance Alafia R at Lithia","Alafia","max_flow_obs_wq_2010_2019",8.132
"Specific conductance Alafia R at Lithia","Alafia","min_flow_obs_wq_2010_2019",1.679
"Specific conductance Hillsborough R at Morris Br","Hillsborough","max_flow_1989_2100",10.267
"Specific conductance Hillsborough R at Morris Br","Hillsborough","min_flow_1989_2100",-7.586
"Specific conductance Hillsborough R at Morris Br","Hillsborough","max_flow_1989_2012",8.65
"Specific conductance Hillsborough R at Morris Br","Hillsborough","min_flow_1989_2012",3.045
"Specific conductance Hillsborough R at Morris Br","Hillsborough","max_flow_2010_2019",8.221
"Specific conductance Hillsborough R at Morris Br","Hillsborough","min_flow_2010_2019",3.635
"Specific conductance Hillsborough R at Morris Br","Hillsborough","max_flow_future",10.267
"Specific conductance Hillsborough R at Morris Br","Hillsborough","min_flow_future",-7.586
"Specific conductance Hillsborough R at Morris Br","Hillsborough","max_wq_1989_2012",457
"Specific conductance Hillsborough R at Morris Br","Hillsborough","min_wq_1989_2012",129
"Specific conductance Hillsborough R at Morris Br","Hillsborough","max_wq_2010_2019",457
"Specific conductance Hillsborough R at Morris Br","Hillsborough","min_wq_2010_2019",103
"Specific conductance Hillsborough R at Morris Br","Hillsborough","max_flow_obs_wq_1989_2012",7.215
"Specific conductance Hillsborough R at Morris Br","Hillsborough","min_flow_obs_wq_1989_2012",3.52
"Specific conductance Hillsborough R at Morris Br","Hillsborough","max_flow_obs_wq_2010_2019",7.682
"Specific conductance Hillsborough R at Morris Br","Hillsborough","min_flow_obs_wq_2010_2019",3.809
"Sulfate Alafia R at Lithia","Alafia","max_flow_1989_2100",10.481
"Sulfate Alafia R at Lithia","Alafia","min_flow_1989_2100",-8.082
"Sulfate Alafia R at Lithia","Alafia","max_flow_1989_2012",9.192
"Sulfate Alafia R at Lithia","Alafia","min_flow_1989_2012",1.411
"Sulfate Alafia R at Lithia","Alafia","max_flow_2010_2019",9.001
"Sulfate Alafia R at Lithia","Alafia","min_flow_2010_2019",1.629
"Sulfate Alafia R at Lithia","Alafia","max_flow_future",10.481
"Sulfate Alafia R at Lithia","Alafia","min_flow_future",-8.082
"Sulfate Alafia R at Lithia","Alafia","max_wq_1989_2012",239
"Sulfate Alafia R at Lithia","Alafia","min_wq_1989_2012",6.5
"Sulfate Alafia R at Lithia","Alafia","max_wq_2010_2019",236
"Sulfate Alafia R at Lithia","Alafia","min_wq_2010_2019",6.5
"Sulfate Alafia R at Lithia","Alafia","max_flow_obs_wq_1989_2012",7.941
"Sulfate Alafia R at Lithia","Alafia","min_flow_obs_wq_1989_2012",1.679
