"title","Q_cfs_log_round","wq_orig"
"Nitrogen Hillsborough R at Morris Br",-7.973,NA
"Nitrogen Hillsborough R at Morris Br",-7.972,NA
"Nitrogen Hillsborough R at Morris Br",-7.971,NA
"Nitrogen Hillsborough R at Morris Br",-7.97,NA
"Nitrogen Hillsborough R at Morris Br",-7.969,NA
"Nitrogen Hillsborough R at Morris Br",-7.968,NA
"Nitrogen Hillsborough R at Morris Br",-7.967,NA
"Nitrogen Hillsborough R at Morris Br",-7.966,NA
"Nitrogen Hillsborough R at Morris Br",-7.965,NA
"Nitrogen Hillsborough R at Morris Br",-7.964,NA
"Nitrogen Hillsborough R at Morris Br",-7.963,NA
"Nitrogen Hillsborough R at Morris Br",-7.962,NA
"Nitrogen Hillsborough R at Morris Br",-7.961,NA
"Nitrogen Hillsborough R at Morris Br",-7.96,NA
"Nitrogen Hillsborough R at Morris Br",-7.959,NA
"Nitrogen Hillsborough R at Morris Br",-7.958,NA
"Nitrogen Hillsborough R at Morris Br",-7.957,NA
"Nitrogen Hillsborough R at Morris Br",-7.956,NA
"Nitrogen Hillsborough R at Morris Br",-7.955,NA
"Nitrogen Hillsborough R at Morris Br",-7.954,NA
"Nitrogen Hillsborough R at Morris Br",-7.953,NA
"Nitrogen Hillsborough R at Morris Br",-7.952,NA
"Nitrogen Hillsborough R at Morris Br",-7.951,NA
"Nitrogen Hillsborough R at Morris Br",-7.95,NA
"Nitrogen Hillsborough R at Morris Br",-7.949,NA
"Nitrogen Hillsborough R at Morris Br",-7.948,NA
"Nitrogen Hillsborough R at Morris Br",-7.947,NA
"Nitrogen Hillsborough R at Morris Br",-7.946,NA
"Nitrogen Hillsborough R at Morris Br",-7.945,NA
"Nitrogen Hillsborough R at Morris Br",-7.944,NA
"Nitrogen Hillsborough R at Morris Br",-7.943,NA
"Nitrogen Hillsborough R at Morris Br",-7.942,NA
"Nitrogen Hillsborough R at Morris Br",-7.941,NA
"Nitrogen Hillsborough R at Morris Br",-7.94,NA
"Nitrogen Hillsborough R at Morris Br",-7.939,NA
"Nitrogen Hillsborough R at Morris Br",-7.938,NA
"Nitrogen Hillsborough R at Morris Br",-7.937,NA
"Nitrogen Hillsborough R at Morris Br",-7.936,NA
"Nitrogen Hillsborough R at Morris Br",-7.935,NA
"Nitrogen Hillsborough R at Morris Br",-7.934,NA
"Nitrogen Hillsborough R at Morris Br",-7.933,NA
"Nitrogen Hillsborough R at Morris Br",-7.932,NA
"Nitrogen Hillsborough R at Morris Br",-7.931,NA
"Nitrogen Hillsborough R at Morris Br",-7.93,NA
"Nitrogen Hillsborough R at Morris Br",-7.929,NA
"Nitrogen Hillsborough R at Morris Br",-7.928,NA
"Nitrogen Hillsborough R at Morris Br",-7.927,NA
"Nitrogen Hillsborough R at Morris Br",-7.926,NA
"Nitrogen Hillsborough R at Morris Br",-7.925,NA
"Nitrogen Hillsborough R at Morris Br",-7.924,NA
"Nitrogen Hillsborough R at Morris Br",-7.923,NA
"Nitrogen Hillsborough R at Morris Br",-7.922,NA
"Nitrogen Hillsborough R at Morris Br",-7.921,NA
"Nitrogen Hillsborough R at Morris Br",-7.92,NA
"Nitrogen Hillsborough R at Morris Br",-7.919,NA
"Nitrogen Hillsborough R at Morris Br",-7.918,NA
"Nitrogen Hillsborough R at Morris Br",-7.917,NA
"Nitrogen Hillsborough R at Morris Br",-7.916,NA
"Nitrogen Hillsborough R at Morris Br",-7.915,NA
"Nitrogen Hillsborough R at Morris Br",-7.914,NA
"Nitrogen Hillsborough R at Morris Br",-7.913,NA
"Nitrogen Hillsborough R at Morris Br",-7.912,NA
"Nitrogen Hillsborough R at Morris Br",-7.911,NA
"Nitrogen Hillsborough R at Morris Br",-7.91,NA
"Nitrogen Hillsborough R at Morris Br",-7.909,NA
"Nitrogen Hillsborough R at Morris Br",-7.908,NA
"Nitrogen Hillsborough R at Morris Br",-7.907,NA
"Nitrogen Hillsborough R at Morris Br",-7.906,NA
"Nitrogen Hillsborough R at Morris Br",-7.905,NA
"Nitrogen Hillsborough R at Morris Br",-7.904,NA
"Nitrogen Hillsborough R at Morris Br",-7.903,NA
"Nitrogen Hillsborough R at Morris Br",-7.902,NA
"Nitrogen Hillsborough R at Morris Br",-7.901,NA
"Nitrogen Hillsborough R at Morris Br",-7.9,NA
"Nitrogen Hillsborough R at Morris Br",-7.899,NA
"Nitrogen Hillsborough R at Morris Br",-7.898,NA
"Nitrogen Hillsborough R at Morris Br",-7.897,NA
"Nitrogen Hillsborough R at Morris Br",-7.896,NA
"Nitrogen Hillsborough R at Morris Br",-7.895,NA
"Nitrogen Hillsborough R at Morris Br",-7.894,NA
"Nitrogen Hillsborough R at Morris Br",-7.893,NA
"Nitrogen Hillsborough R at Morris Br",-7.892,NA
"Nitrogen Hillsborough R at Morris Br",-7.891,NA
"Nitrogen Hillsborough R at Morris Br",-7.89,NA
"Nitrogen Hillsborough R at Morris Br",-7.889,NA
"Nitrogen Hillsborough R at Morris Br",-7.888,NA
"Nitrogen Hillsborough R at Morris Br",-7.887,NA
"Nitrogen Hillsborough R at Morris Br",-7.886,NA
"Nitrogen Hillsborough R at Morris Br",-7.885,NA
"Nitrogen Hillsborough R at Morris Br",-7.884,NA
"Nitrogen Hillsborough R at Morris Br",-7.883,NA
"Nitrogen Hillsborough R at Morris Br",-7.882,NA
"Nitrogen Hillsborough R at Morris Br",-7.881,NA
