"date","flow","wq","decdate_s","yday","log_wq","log_flow_cs"
2011-01-26,5.40851765641737,8.45,37.0684931506848,26,0.926856708949692,0.272554018997923
2011-02-22,2.42675373379565,2.78,37.1424657534246,53,0.444044795918076,-0.764655062716264
2011-03-28,2.40126857206384,1.8,37.2356164383561,87,0.255272505103306,-0.778318436943358
2011-04-25,2.86000148323641,4.9,37.3123287671233,115,0.690196080028514,-0.552057656729409
2011-05-25,2.62213997373952,2.2,37.3945205479451,145,0.342422680822206,-0.664435964261515
2011-06-27,3.08653625418583,4.9,37.4849315068493,178,0.690196080028514,-0.45340319811622
2011-07-26,1.97085250725994,4.3,37.5643835616438,207,0.633468455579587,-1.03396562275297
2011-08-22,6.05980512289695,10.1,37.6383561643836,234,1.00432137378264,0.419709402158292
2011-09-28,6.48455781842711,17.4,37.7397260273972,271,1.2405492482826,0.507387151321853
2011-10-17,8.15525175417908,15.7,37.7917808219179,290,1.19589965240923,0.804070602014417
2011-11-16,2.47206068798553,3.4,37.8739726027397,320,0.531478917042255,-0.740715177368934
2011-12-28,1.96518913798621,1.9,37.9890410958903,362,0.278753600952829,-1.03768997970929
2012-01-18,1.87457522960644,1.6,38.0464480874316,18,0.204119982655925,-1.09878512922955
2012-02-21,1.73582268239992,1.6,38.139344262295,52,0.204119982655925,-1.19831092281552
2012-03-07,1.84625838323776,1.7,38.1803278688524,67,0.230448921378274,-1.11848433982151
2012-04-03,1.5007928575399,0.9,38.2540983606557,94,-0.0457574905606751,-1.38660331408069
2012-05-15,1.2374461863112,0.7,38.3688524590164,136,-0.154901959985743,-1.63631373191506
2012-06-20,1.81227816759535,3.5,38.467213114754,172,0.544068044350276,-1.14252614229444
2012-07-23,14.8097106508183,27.7,38.5573770491803,205,1.44247976906445,1.57622532449859
2012-08-22,31.4316994692319,22.6,38.639344262295,235,1.3541084391474,2.55016450280817
2012-09-18,11.411689086577,23.4,38.7131147540983,262,1.36921585741014,1.23889526490756
2012-10-17,7.56059798043685,19.7,38.7923497267759,291,1.29446622616159,0.706083366774871
2012-11-20,3.0015857150798,2.5,38.8852459016393,325,0.397940008672038,-0.489523118675325
2012-12-12,2.81186284440966,2.5,38.9453551912568,347,0.397940008672038,-0.574026854777803
2013-01-22,2.59948649664458,3.1,39.0575342465754,22,0.491361693834273,-0.67566564989304
2013-02-18,2.40693194133758,1.8,39.131506849315,49,0.255272505103306,-0.775269641306846
2013-03-20,2.01332777681296,1.3,39.2136986301371,79,0.113943352306837,-1.00636941412925
2013-04-10,1.86324849105897,1.3,39.2712328767122,100,0.113943352306837,-1.10662886929431
2013-05-20,1.35920862569651,0.9,39.3808219178081,140,-0.0457574905606751,-1.51484806324807
2013-06-17,4.53069541898838,8.8,39.4575342465753,168,0.944482672150169,0.0433493713789564
2013-07-17,7.58891482680553,14.7,39.5397260273974,198,1.16731733474818,0.71092155240633
2013-08-21,4.41742803351367,8.5,39.6356164383562,233,0.929418925714293,0.0105827313769949
2013-09-18,7.47564744133082,15.2,39.7123287671234,261,1.18184358794477,0.69145933378522
2013-10-15,4.19089326256425,9.1,39.7863013698629,288,0.959041392321094,-0.0575494807223465
2013-11-13,2.52019932681228,5.1,39.8657534246574,317,0.707570176097936,-0.715755103082244
2013-12-30,2.27667444804166,2.3,39.9945205479453,364,0.361727836017593,-0.847275882220688
2014-01-21,2.20871401675683,2.6,40.0547945205481,21,0.414973347970818,-0.886497464028375
2014-02-19,2.97326886871112,4,40.1342465753426,50,0.602059991327962,-0.501790633739112
2014-03-18,5.21029973183663,7,40.2082191780821,77,0.845098040014257,0.224231114957363
2014-04-07,4.19089326256425,7.9,40.2630136986302,97,0.897627091290441,-0.0575494807223465
2014-05-14,2.83168463686774,4.1,40.3643835616438,134,0.612783856719735,-0.564935505758377
2014-06-09,2.20021896284623,2.2,40.4356164383562,160,0.342422680822206,-0.891484804108447
2014-07-16,13.5637694105965,18.7,40.5369863013698,197,1.2718416065365,1.46248875131267
2014-08-19,7.05089474580066,12.8,40.6301369863013,231,1.10720996964787,0.615752773920086
2014-09-17,4.81386388267515,7.4,40.7095890410958,260,0.869231719730976,0.121810554098519
2014-10-20,4.61564595809441,10.6,40.8,293,1.02530586526477,0.0673911738518911
2014-11-19,3.59623948882202,3.6,40.8821917808218,323,0.556302500767287,-0.255596690290577
2014-12-22,5.09703234636192,8.2,40.972602739726,356,0.913813852383717,0.195785724877081
2015-01-21,4.58732911172573,7.7,41.0547945205481,21,0.886490725172482,0.0594267601071763
2015-02-18,15.4043644245605,19,41.131506849315,49,1.27875360095283,1.62717562664122
2015-03-18,4.27584380167028,9.1,41.2082191780821,77,0.959041392321094,-0.0315777767497697
2015-04-21,3.48297210334731,4.4,41.3013698630136,111,0.643452676486187,-0.297015045672328
2015-05-12,2.28800118658913,1.9,41.358904109589,132,0.278753600952829,-0.84085297499744
2015-05-18,2.06712978491345,1.2,41.3753424657534,138,0.0791812460476248,-0.972238289921619
2015-06-17,2.26534770949419,3.2,41.4575342465753,168,0.505149978319906,-0.853730824026411
2015-07-22,3.45465525697864,6.3,41.5534246575342,203,0.799340549453582,-0.307580109642458
2015-08-18,46.4396280446309,24.2,41.6273972602739,230,1.38381536598043,3.05534277976543
2015-09-21,8.43842021786585,18.6,41.7205479452055,264,1.26951294421792,0.848245987679191
2015-10-21,3.2564373323979,3.6,41.8027397260273,294,0.556302500767287,-0.384053762179969
2015-11-16,3.19980363966054,4.1,41.8739726027397,320,0.612783856719735,-0.406759838423657
2015-12-15,2.71841725139303,3.3,41.9534246575342,349,0.518513939877887,-0.617767867842695
2016-01-19,7.36238005585611,8.6,42.049180327869,19,0.934498451243568,0.671699970598646
2016-02-09,7.5039642876995,14.3,42.1065573770493,40,1.15533603746506,0.696352394998074
2016-03-16,2.78354599804098,4.1,42.204918032787,76,0.612783856719735,-0.587126289980718
2016-04-20,2.62780334301326,3.4,42.3005464480875,111,0.531478917042255,-0.661643701799342
2016-05-18,2.46922900334867,2.5,42.377049180328,139,0.397940008672038,-0.742198516384249
2016-06-21,7.41901374859347,21.1,42.4699453551912,173,1.32428245529769,0.68161736126654
2016-07-20,4.21921010893293,9.4,42.549180327869,202,0.973127853599699,-0.0488342077261748
2016-08-16,15.1495128072424,20.5,42.622950819672,229,1.31175386105575,1.60558491583169
2016-09-21,11.2701048547336,16.3,42.7213114754099,265,1.21218760440396,1.22273758751345
2016-10-18,10.1657478463552,23.1,42.795081967213,292,1.36361197989214,1.08926588138484
2016-11-16,2.63629839692386,2.2,42.8743169398906,321,0.342422680822206,-0.657466571279665
2016-12-20,2.37295172569516,2.2,42.967213114754,355,0.342422680822206,-0.793671086124071
2017-01-18,2.07845652346092,2,43.0465753424658,18,0.301029995663981,-0.965166069322173
2017-02-21,1.95669408407561,2,43.1397260273973,52,0.301029995663981,-1.04329668804117
2017-03-22,1.89156533742765,1.4,43.2191780821918,81,0.146128035678238,-1.08710793889197
2017-04-18,1.53477307318231,1,43.2931506849316,108,0,-1.35762718249238
2017-05-17,1.37053536424398,0.9,43.3726027397261,137,-0.0457574905606751,-1.50410764352275
2017-06-20,5.69168612010415,13.9,43.4657534246576,171,1.1430148002541,0.338599631452711
2017-07-19,7.5039642876995,22.5,43.5452054794521,200,1.35218251811136,0.696352394998074
2017-08-15,9.06139083797675,23.3,43.6191780821919,227,1.36735592102602,0.940429566784322
2017-09-20,48.9881442178118,31.6,43.7178082191781,263,1.4996870826184,3.1244863329721
2017-10-17,7.5039642876995,16.5,43.7917808219179,290,1.21748394421391,0.696352394998074
2018-01-17,2.69859545893495,4.7,44.0438356164384,17,0.672097857935718,-0.627239412514784
2018-02-08,5.40851765641737,9.8,44.1041095890412,39,0.991226075692495,0.272554018997923
2018-02-20,3.3697047178726,6.5,44.1369863013699,51,0.812913356642856,-0.339802848333963
2018-03-13,2.31348634832094,3,44.1945205479451,72,0.477121254719662,-0.826516928913559
2018-04-04,2.13792190083514,2.45,44.2547945205479,94,0.389166084364532,-0.928657972155137
2018-04-09,1.95669408407561,2.5,44.2684931506849,99,0.397940008672038,-1.04329668804117
2018-04-16,2.290832871226,4.2,44.2876712328766,106,0.6232492903979,-0.839252216414651
2018-05-16,3.96435849161483,11.7,44.3698630136987,136,1.06818586174616,-0.129468712785491
2018-06-05,14.215056877076,19,44.4246575342465,156,1.27875360095283,1.52318672973927
2018-06-19,8.69327183518395,12.9,44.4630136986302,170,1.11058971029925,0.88675434361571
2018-07-18,10.6754510809914,15.9,44.5424657534247,199,1.20139712432045,1.15258241109375
2018-08-08,21.237634776508,23,44.5999999999999,220,1.36172783601759,2.04277847777213
2018-08-22,33.9802156424128,13.1,44.6383561643836,234,1.11727129565576,2.65106335490947
2018-09-19,9.34455930166353,15.6,44.7150684931507,262,1.19312459835446,0.980254652053253
2018-10-10,4.44574487988234,7.3,44.7726027397259,283,0.863322860120456,0.0188524920970976
2018-10-16,3.42633841060996,5.8,44.7890410958903,289,0.763427993562937,-0.318232129849343
2018-11-19,2.97326886871112,3.9,44.8821917808218,323,0.591064607026499,-0.501790633739112
2018-12-18,6.28633989384637,10.3,44.9616438356165,352,1.01283722470517,0.467208793729399
2019-01-22,5.55010188826076,9.3,45.0575342465754,22,0.968482948553935,0.305998080187396
2019-02-18,6.2580230474777,12.2,45.131506849315,49,1.08635983067475,0.461365835050178
2019-03-19,3.08653625418583,38.3,45.2109589041097,78,1.58319877396862,-0.45340319811622
2019-04-15,2.33047645614215,3.2,45.2849315068493,105,0.505149978319906,-0.817047034351087
2019-05-14,3.31307102513525,4.5,45.3643835616438,134,0.653212513775344,-0.361739189576626
2019-06-11,6.82435997485124,5.5,45.4410958904109,162,0.740362689494244,0.573488997239572
2019-07-17,4.78554703630647,8,45.5397260273974,198,0.903089986991944,0.114175056144937
2019-08-20,31.4316994692319,22.5,45.6328767123289,232,1.35218251811136,2.55016450280817
2019-09-18,4.61564595809441,8,45.7123287671234,261,0.903089986991944,0.0673911738518911
2019-11-19,4.8704975754125,7.6,45.8821917808218,323,0.880813592280791,0.1369477225535
2020-01-21,3.76614056703409,6.7,46.0546448087432,21,0.826074802700826,-0.195853168847185
2020-02-19,3.45465525697864,14.1,46.1338797814208,50,1.14921911265538,-0.307580109642458
2020-03-16,2.42675373379565,2.4,46.204918032787,76,0.380211241711606,-0.764655062716264
2021-07-21,9.45782668713824,16.6,47.5506849315068,202,1.22010808804006,0.995847770186791
2021-08-16,15.4043644245605,26.2,47.6219178082192,228,1.41830129131975,1.62717562664122
2021-09-21,13.6487199497025,19.3,47.7205479452055,264,1.28555730900777,1.47056919264494
2021-10-18,3.22812048602922,8.7,47.7945205479452,291,0.939519252618618,-0.395357005636358
2021-11-15,7.73049905864892,18.6,47.8712328767124,319,1.26951294421792,0.734844842617915
2022-01-19,2.82885295223087,2.6,48.0493150684931,19,0.414973347970818,-0.566230366445872
2022-02-15,2.74956578239857,5.9,48.1232876712329,46,0.770852011642144,-0.603022659519482
2022-03-15,2.72124893602989,6.6,48.2,74,0.819543935541869,-0.616420430813969
2022-04-14,3.05821940781715,4.8,48.2821917808219,104,0.681241237375587,-0.465331514344572
2022-04-20,2.28516950195226,5.1,48.2986301369863,110,0.707570176097936,-0.842455715944305
2022-05-16,2.0274861999973,4,48.3698630136987,136,0.602059991327962,-0.997299908554057
2022-06-21,2.42392204915878,5.7,48.4684931506849,172,0.755874855672491,-0.766166111515108
2022-07-18,3.96435849161483,7.2,48.5424657534247,199,0.857332496431269,-0.129468712785491
2022-08-15,2.88831832960509,3.3,48.6191780821919,227,0.518513939877887,-0.539306685123134
2022-09-19,19.8784261508115,23.4,48.7150684931507,262,1.36921585741014,1.95717947568585
2022-10-19,6.22970620110902,18.6,48.7972602739726,292,1.26951294421792,0.455496377601506
2022-11-16,13.5920862569651,19.2,48.8739726027397,320,1.28330122870355,1.46518784123607
2022-12-19,6.85267682121992,12.9,48.9643835616439,353,1.11058971029925,0.578848065556024
