"Q_cfs_log_round","mu_mean","mu_025","mu_975","y_mean","y_025","y_975","title","in_or_out","method","max_flow_sampled","min_flow_sampled"
-1.4,0.00108159433823209,3.09601111344273e-05,0.00473946270974026,0.00108423012281359,2.84357505925502e-05,0.00472974556661376,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
-1.3,0.00114380342574529,3.5489661612569e-05,0.00491140894887053,0.00120872864484566,3.14898396699645e-05,0.00595169330547381,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
-1.2,0.00121130438552331,4.07568521669208e-05,0.00508013091575723,0.00125206834143955,3.21876846661913e-05,0.00612855356661793,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
-1.1,0.00128456286627848,4.68888518572384e-05,0.00526117535525199,0.00130960111550061,3.02801396689398e-05,0.00587974302755727,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
-0.999999999999999,0.00136409046874839,5.4035363102856e-05,0.00548548685237854,0.00143592277687638,4.34472398129154e-05,0.00587745095139068,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
-0.899999999999999,0.00145044945951852,6.23559575201227e-05,0.00576328114936284,0.00138457443008703,5.42326343555841e-05,0.0059721956267987,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
-0.799999999999999,0.00154425798151547,7.18603235781415e-05,0.00599314311352732,0.00158410480906196,6.37445483367386e-05,0.00697636955707206,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
-0.699999999999999,0.0016461958106279,8.29371897166979e-05,0.0062384253350213,0.00165424285655161,6.69125133994566e-05,0.0074148289141841,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
-0.6,0.00175701071176864,9.58570937686937e-05,0.00650026034274674,0.0017254228986439,8.52681644327309e-05,0.00673768114373574,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
-0.499999999999999,0.00187752545156242,0.00011093757630137,0.0067797615123217,0.00190168931958403,0.000100629012125568,0.00757999262701492,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
-0.399999999999999,0.00200864552862645,0.000128551191130774,0.00711800416232688,0.00200164494552964,9.89848309384601e-05,0.00723960988435901,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
-0.299999999999999,0.00215136768601041,0.000149134805679842,0.0074915540043349,0.00220552304174526,0.000134067337480302,0.00780504217312557,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
-0.199999999999999,0.00230678927361123,0.000173200375123975,0.00789240692169378,0.00230680914060572,0.000115366003144615,0.00796501437008833,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
-0.0999999999999996,0.00247611853113203,0.000201347393909998,0.00831866951002315,0.00240538963507669,0.000196776633160997,0.00848247494796444,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
0,0.00266068586417021,0.000234847688577872,0.00877171780360952,0.00260781885373517,0.000209608402305325,0.00942669382178677,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
0.100000000000001,0.0028619561870639,0.000275343710137739,0.00925324264357271,0.00280820817825755,0.000226734203268098,0.0094986669592311,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
0.200000000000001,0.00308154240589396,0.000322742816906909,0.0097650400990588,0.00316702806870438,0.000299269377078847,0.0113332881437035,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
0.300000000000001,0.00332122011316994,0.000378429478697109,0.010309017382337,0.00327766986060037,0.000324847879541615,0.0115381941582953,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
0.4,0.00358294356185027,0.000443165041027242,0.0108871990138813,0.0034502594261497,0.000359186159815555,0.0111861357824909,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
0.5,0.00386886297997038,0.00051859829679467,0.0114563129287933,0.00396926099973399,0.000400269643977055,0.0134802703870389,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
0.600000000000001,0.00418134327781987,0.000606911369412388,0.0120212790001817,0.00421213983395807,0.000419030224792479,0.0134349093728432,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
0.700000000000001,0.00452298418673409,0.000710239415963266,0.012650447995114,0.00439746256219843,0.000561938362792828,0.0133401006042712,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
0.800000000000001,0.00489664185158923,0.000831010858024739,0.0133206994494283,0.00479825334590627,0.000688832129432069,0.0149301796922846,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
0.9,0.00530545187738749,0.000971797989942061,0.0140346417254304,0.00526655493743435,0.00071153104784101,0.0169407739561812,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
1,0.00575285380328173,0.00112611389509978,0.0148025675499482,0.00579990646595545,0.00083633624839489,0.0179685508707638,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
1.1,0.00624261694438627,0.0013042299461547,0.015647919999326,0.0062627914410354,0.000973291886674333,0.0189207876354443,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
1.2,0.00677886750222942,0.00151643781836829,0.0165770331797715,0.00681766996746641,0.00107172298243969,0.0186561668589368,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
1.3,0.00736611679820216,0.00176886042144257,0.0175655496432075,0.00736944188512097,0.00142253105729877,0.0209730670546956,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
1.4,0.00800929043049367,0.0020622059561984,0.0186172002792963,0.00789062897161313,0.0017115595901653,0.0215707754807628,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
1.5,0.00871375809362868,0.00240223874319327,0.0197359334666457,0.00840686047456718,0.00168453814737241,0.020183173620149,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
1.6,0.00948536373082981,0.0027957893101559,0.0208692445008413,0.00955505613946734,0.00205333184362806,0.0248168969264189,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
1.7,0.0103304556133865,0.00325045356272025,0.0220641618196426,0.0102173939670874,0.00214157549117625,0.0251460096396804,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
1.8,0.0112559158587293,0.00377833628121753,0.023338995650919,0.0108754690958859,0.00286733863909159,0.0269322663449433,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
1.9,0.0122691888111196,0.00438966363158809,0.0247029045423244,0.0124195476658652,0.00295124845357887,0.0295513369548464,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
2,0.0133783076173404,0.00509323021221553,0.0261604520895964,0.0137816682993381,0.00342119179889508,0.0323673611815643,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
2.1,0.0145919182367487,0.00589175562813183,0.0277144907874853,0.0147640251274028,0.00443048487568696,0.0343824282050862,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
2.2,0.0159193000332436,0.00678168623079305,0.0293709913308674,0.0164837021775082,0.0046897332808114,0.0370257778577164,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
2.3,0.0173703820094666,0.00779487181945703,0.0311362329576585,0.0174617867712212,0.00561063757757201,0.0408360324926084,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
2.4,0.0189557536648936,0.00894585465480825,0.0330168121379235,0.0188288163725743,0.00703003019646452,0.0408641737791953,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
2.5,0.0206866693939024,0.010261629190661,0.0350196508275708,0.0207967608905082,0.00686852153946565,0.0470637690688374,"Orthophosphate as P Hillsborough R at Morris Br","OOR","JAGS",7.7,3.8
